,timestamp,Qmc,Qhv,Qlv,Qmv
0,04/10/2015 01:00,164.0,52.0,970.0,1186.0
1,04/10/2015 02:00,83.2,28.6,742.0,853.8
2,04/10/2015 03:00,63.6,15.6,545.0,624.2
3,04/10/2015 04:00,67.2,14.3,454.0,535.5
4,04/10/2015 05:00,131.6,20.8,433.0,585.4
5,04/10/2015 06:00,264.40000000000003,57.2,683.0,1004.6
6,04/10/2015 07:00,566.0,179.4,1345.0,2090.4
7,04/10/2015 08:00,822.8000000000002,258.7,2698.0,3779.5
8,04/10/2015 09:00,989.6,321.1,3563.0,4873.7
9,04/10/2015 10:00,1142.8,358.8,4317.0,5818.6
10,04/10/2015 11:00,1077.6,335.4000000000001,4523.0,5936.0
11,04/10/2015 12:00,861.2,287.3,4068.0,5216.5
12,04/10/2015 13:00,821.2,347.1,3966.0,5134.3
13,04/10/2015 14:00,946.4,366.6,4488.0,5801.0
14,04/10/2015 15:00,890.0,327.6,4955.0,6172.6
15,04/10/2015 16:00,664.8000000000002,356.2,5059.0,6080.0
16,04/10/2015 17:00,943.2,387.4,5682.0,7012.6
17,04/10/2015 18:00,892.4000000000002,341.9000000000001,5584.0,6818.3
18,04/10/2015 19:00,676.0,215.8,4428.0,5319.8
19,04/10/2015 20:00,631.6,248.3,3687.0,4566.9
20,04/10/2015 21:00,586.8000000000002,195.0,3771.0,4552.8
21,04/10/2015 22:00,466.4,192.4,3468.0,4126.8
22,04/10/2015 23:00,340.4000000000001,130.0,2588.0,3058.4
23,05/10/2015 00:00,259.2,70.2,1712.0,2041.4
24,05/10/2015 01:00,139.6,48.1,1099.0,1286.7
25,05/10/2015 02:00,101.2,32.5,706.0,839.7
26,05/10/2015 03:00,74.4,18.2,565.0,657.6
27,05/10/2015 04:00,66.0,24.7,447.0,537.7
28,05/10/2015 05:00,126.0,11.7,468.0,605.7
29,05/10/2015 06:00,239.2,42.9,580.0,862.0999999999999
30,05/10/2015 07:00,607.6,227.5,1305.0,2140.1
31,05/10/2015 08:00,680.8000000000002,295.1,2895.0,3870.9
32,05/10/2015 09:00,563.6,326.3,3655.0,4544.9
33,05/10/2015 10:00,912.4,351.0,4285.0,5548.4
34,05/10/2015 11:00,789.2,313.3,4544.0,5646.5
35,05/10/2015 12:00,652.4000000000002,275.6,4481.0,5409.0
36,05/10/2015 13:00,738.8000000000002,326.3,3920.0,4985.1
37,05/10/2015 14:00,1018.8,325.0,4776.0,6119.8
38,05/10/2015 15:00,1009.2,417.3,5126.0,6552.5
39,05/10/2015 16:00,924.0,289.9000000000001,4710.0,5923.9
40,05/10/2015 17:00,992.0,344.5,5322.0,6658.5
41,05/10/2015 18:00,1001.6,295.1,5693.0,6989.7
42,05/10/2015 19:00,809.6,260.0,5044.0,6113.6
43,05/10/2015 20:00,720.0,253.5,4082.0,5055.5
44,05/10/2015 21:00,593.2,202.8,3772.0,4568.0
45,05/10/2015 22:00,467.2000000000001,191.1,3894.0,4552.3
46,05/10/2015 23:00,350.8,100.1,2696.0,3146.9
47,06/10/2015 00:00,246.0,67.60000000000001,1873.0,2186.6
48,06/10/2015 01:00,160.4,54.6,1200.0,1415.0
49,06/10/2015 02:00,90.0,28.6,873.0,991.6
50,06/10/2015 03:00,75.60000000000002,16.900000000000002,652.0,744.5
51,06/10/2015 04:00,64.0,20.8,450.0,534.8
52,06/10/2015 05:00,130.0,28.6,503.0,661.6
53,06/10/2015 06:00,264.40000000000003,55.9,630.0,950.3
54,06/10/2015 07:00,603.2,217.1,1406.0,2226.3
55,06/10/2015 08:00,944.4,341.9000000000001,3515.0,4801.3
56,06/10/2015 09:00,1114.0,393.9,3966.0,5473.9
57,06/10/2015 10:00,1229.2,405.6,4837.0,6471.8
58,06/10/2015 11:00,1132.4,364.0,5102.0,6598.4
59,06/10/2015 12:00,927.6,308.1,4734.0,5969.7
60,06/10/2015 13:00,907.2,387.4,4659.0,5953.6
61,06/10/2015 14:00,998.8,351.0,4958.0,6307.8
62,06/10/2015 15:00,1080.0,327.6,5399.0,6806.6
63,06/10/2015 16:00,1046.4,373.1,5340.0,6759.5
64,06/10/2015 17:00,952.4,384.8,5278.0,6615.2
65,06/10/2015 18:00,1142.8,288.6,4851.0,6282.4
66,06/10/2015 19:00,829.2,244.4,5152.0,6225.6
67,06/10/2015 20:00,680.0,248.3,4138.0,5066.3
68,06/10/2015 21:00,567.2,204.1,4157.0,4928.3
69,06/10/2015 22:00,591.2,196.3,3645.0,4432.5
70,06/10/2015 23:00,353.6,135.20000000000002,2648.0,3136.8
71,07/10/2015 00:00,251.6,81.9,1889.0,2222.5
72,07/10/2015 01:00,168.0,63.7,1225.0,1456.7
73,07/10/2015 02:00,114.0,35.1,856.0,1005.1
74,07/10/2015 03:00,71.2,15.6,708.0,794.8
75,07/10/2015 04:00,77.2,18.2,526.0,621.4
76,07/10/2015 05:00,138.8,19.5,519.0,677.3
77,07/10/2015 06:00,272.8,42.9,656.0,971.7
78,07/10/2015 07:00,676.8000000000002,226.2,1446.0,2349.0
79,07/10/2015 08:00,1041.6,380.9,3829.0,5251.5
80,07/10/2015 09:00,1148.8,405.6,4277.0,5831.4
81,07/10/2015 10:00,1077.2,430.3,4805.0,6312.5
82,07/10/2015 11:00,1096.4,317.2,5198.0,6611.6
83,07/10/2015 12:00,964.4,327.6,4884.0,6176.0
84,07/10/2015 13:00,792.0,406.9,5389.0,6587.9
85,07/10/2015 14:00,1163.6,431.6,5713.0,7308.2
86,07/10/2015 15:00,1208.8,460.2,5675.0,7344.0
87,07/10/2015 16:00,1128.0,538.2,4849.0,6515.2
88,07/10/2015 17:00,1104.4,521.3000000000002,5299.0,6924.700000000001
89,07/10/2015 18:00,1148.4,512.2,4907.0,6567.6
90,07/10/2015 19:00,1015.6,315.9000000000001,5468.0,6799.5
91,07/10/2015 20:00,961.2,292.5,4703.0,5956.7
92,07/10/2015 21:00,661.2,202.8,4094.0,4958.0
93,07/10/2015 22:00,467.6,204.1,3440.0,4111.7
94,07/10/2015 23:00,346.0,93.6,2663.0,3102.6
95,08/10/2015 00:00,238.4,68.9,1942.0,2249.3
96,08/10/2015 01:00,162.0,58.5,1283.0,1503.5
97,08/10/2015 02:00,91.2,31.200000000000006,829.0,951.4
98,08/10/2015 03:00,62.0,33.800000000000004,528.0,623.8
99,08/10/2015 04:00,65.2,18.2,471.0,554.4
100,08/10/2015 05:00,134.4,23.4,423.0,580.8
101,08/10/2015 06:00,296.8,53.3,722.0,1072.1
102,08/10/2015 07:00,631.2,369.2,2436.0,3436.4
103,08/10/2015 08:00,1289.6,526.5,6292.0,8108.1
104,08/10/2015 09:00,1139.2,490.1,5840.0,7469.3
105,08/10/2015 10:00,1006.8,393.9,5123.0,6523.7
106,08/10/2015 11:00,963.6,339.3,4849.0,6151.9
107,08/10/2015 12:00,749.2,301.6,4664.0,5714.8
108,08/10/2015 13:00,995.2,317.2,4737.0,6049.4
109,08/10/2015 14:00,955.6,341.9000000000001,5117.0,6414.5
110,08/10/2015 15:00,866.0,351.0,5170.0,6387.0
111,08/10/2015 16:00,935.2,356.2,5383.0,6674.4
112,08/10/2015 17:00,927.6,417.3,5408.0,6752.9
113,08/10/2015 18:00,1020.4,409.5,4589.0,6018.9
114,08/10/2015 19:00,1055.2,256.1,5003.0,6314.3
115,08/10/2015 20:00,719.6,232.7,4665.0,5617.3
116,08/10/2015 21:00,624.4000000000002,274.3,3326.0,4224.700000000001
117,08/10/2015 22:00,448.4,228.8,3518.0,4195.2
118,08/10/2015 23:00,304.0,137.8,2669.0,3110.8
119,09/10/2015 00:00,225.6,83.2,1748.0,2056.8
120,09/10/2015 01:00,140.4,49.4,1259.0,1448.8
121,09/10/2015 02:00,110.8,24.7,822.0,957.5
122,09/10/2015 03:00,64.8,15.6,537.0,617.4
123,09/10/2015 04:00,62.0,11.7,434.0,507.7
124,09/10/2015 05:00,149.20000000000005,18.2,472.0,639.4000000000001
125,09/10/2015 06:00,292.0,58.5,656.0,1006.5
126,09/10/2015 07:00,918.0,362.7,2329.0,3609.7
127,09/10/2015 08:00,1336.8000000000004,548.6,6001.0,7886.400000000001
128,09/10/2015 09:00,1154.8,518.7,4860.0,6533.5
129,09/10/2015 10:00,1251.6,438.1,5981.0,7670.7
130,09/10/2015 11:00,1159.2,384.8,5125.0,6669.0
131,09/10/2015 12:00,930.4,328.9000000000001,5008.0,6267.3
132,09/10/2015 13:00,1013.2,383.5,5066.0,6462.7
133,09/10/2015 14:00,1222.8,384.8,5340.0,6947.6
134,09/10/2015 15:00,1150.0,331.5,5504.0,6985.5
135,09/10/2015 16:00,1124.0,426.4,5820.0,7370.4
136,09/10/2015 17:00,1174.0,464.1,5954.0,7592.1
137,09/10/2015 18:00,1277.2,418.6,5514.0,7209.8
138,09/10/2015 19:00,925.6,356.2,5312.0,6593.8
139,09/10/2015 20:00,681.2,310.7,4060.0,5051.9
140,09/10/2015 21:00,571.6,230.1,4805.0,5606.7
141,09/10/2015 22:00,481.2000000000001,263.90000000000003,3770.0,4515.1
142,09/10/2015 23:00,354.8,140.4,2744.0,3239.2
143,10/10/2015 00:00,225.6,57.2,1813.0,2095.8
144,10/10/2015 01:00,149.20000000000005,76.7,1225.0,1450.9
145,10/10/2015 02:00,105.2,49.4,827.0,981.6
146,10/10/2015 03:00,67.2,10.4,547.0,624.6
147,10/10/2015 04:00,73.2,11.7,434.0,518.9
148,10/10/2015 05:00,139.6,19.5,510.0,669.1
149,10/10/2015 06:00,296.4000000000001,63.7,611.0,971.1000000000001
150,10/10/2015 07:00,878.0,315.9000000000001,1967.0,3160.9
151,10/10/2015 08:00,1269.6,564.2,5685.0,7518.8
152,10/10/2015 09:00,1185.6,491.4,6069.0,7746.0
153,10/10/2015 10:00,1152.8,479.7,5435.0,7067.5
154,10/10/2015 11:00,1046.8,358.8,5134.0,6539.6
155,10/10/2015 12:00,939.6,287.3,4924.0,6150.9
156,10/10/2015 13:00,961.2,360.1,4750.0,6071.3
157,10/10/2015 14:00,1230.0,396.5,5274.0,6900.5
158,10/10/2015 15:00,905.6,458.9,5652.0,7016.5
159,10/10/2015 16:00,997.6,789.1,5752.0,7538.7
160,10/10/2015 17:00,1275.6,527.8000000000002,5847.0,7650.4
161,10/10/2015 18:00,1298.0,455.0,5190.0,6943.0
162,10/10/2015 19:00,868.8000000000002,249.6,4925.0,6043.4
163,10/10/2015 20:00,714.4000000000002,240.5,4172.0,5126.900000000001
164,10/10/2015 21:00,668.0,239.2,3987.0,4894.2
165,10/10/2015 22:00,535.6,245.7,4136.0,4917.3
166,10/10/2015 23:00,417.6,143.0,3013.0,3573.6
167,11/10/2015 00:00,265.2,101.4,1977.0,2343.6
